Sample	Reference virus	Genus	Description	%Identity
UG110	KJ844870	begomovirus	Sweet potato leaf curl virus	98.88
UG110	GU207957	potyvirus	Sweet potato virus C	92.29
UG112	FJ560943	badnavirus	Sweet potato badnavirus A	75.79
UG112	FJ560944	badnavirus	Sweet potato badnavirus B	93.11
UG112	JQ902103	badnavirus	Sweet potato badnavirus C	93.53
UG112	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.22
UG112	EF155993	potyvirus	Sweet potato feathery mottle virus	96.09
UG112	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.78
UG114	FJ560943	badnavirus	Sweet potato badnavirus A	79.35
UG114	FJ560944	badnavirus	Sweet potato badnavirus B	94.2
UG114	JQ902104	badnavirus	Sweet potato badnavirus C	79.5
UG114	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.24
UG114	AB465608	potyvirus	Sweet potato feathery mottle virus	95.27
UG114	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.77
UG116	FJ560943	badnavirus	Sweet potato badnavirus A	82.92
UG116	KF836892	badnavirus	Sweet potato badnavirus B	89.19
UG116	JQ902103	badnavirus	Sweet potato badnavirus C	88.79
UG116	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.34
UG116	KC288170	begomovirus	Sweet potato leaf curl virus	98.67
UG117	FJ560943	badnavirus	Sweet potato badnavirus A	81.28
UG117	KF836892	badnavirus	Sweet potato badnavirus B	89.26
UG117	JQ902104	badnavirus	Sweet potato badnavirus C	81.77
UG117	AY461421	carlavirus	Sweet potato chlorotic fleck virus	96.95
UG117	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.51
UG117	AY523547	potyvirus	Sweet potato feathery mottle virus	98.28
UG117	FJ969829	begomovirus	Sweet potato golden vein associated virus	89.08
UG117	AB433786	begomovirus	Sweet potato leaf curl virus	90.73
UG117	KF386015	potyvirus	Sweet potato virus C	94.03
UG118	FJ560943	badnavirus	Sweet potato badnavirus A	79.62
UG118	KF836892	badnavirus	Sweet potato badnavirus B	85.55
UG118	JQ902103	badnavirus	Sweet potato badnavirus C	88.24
UG118	AY523547	potyvirus	Sweet potato feathery mottle virus	98.12
UG118	KC288170	begomovirus	Sweet potato leaf curl virus	98.68
UG119	FJ560943	badnavirus	Sweet potato badnavirus A	80.31
UG119	KF836892	badnavirus	Sweet potato badnavirus B	84.29
UG119	JQ902104	badnavirus	Sweet potato badnavirus C	77.44
UG119	AB465608	potyvirus	Sweet potato feathery mottle virus	96.47
UG119	KC288170	begomovirus	Sweet potato leaf curl virus	98.93
UG119	KF386015	potyvirus	Sweet potato virus C	95.18
UG123	JQ902104	badnavirus	Sweet potato badnavirus C	95.3
UG123	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.66
UG123	AB465608	potyvirus	Sweet potato feathery mottle virus	95.27
UG123	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG123	KF386015	potyvirus	Sweet potato virus C	95.08
UG124	FJ560943	badnavirus	Sweet potato badnavirus A	81.08
UG124	KF836892	badnavirus	Sweet potato badnavirus B	86.24
UG124	JQ902104	badnavirus	Sweet potato badnavirus C	84.97
UG124	KJ844870	begomovirus	Sweet potato leaf curl virus	97.81
UG124	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG125	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.72
UG125	AB465608	potyvirus	Sweet potato feathery mottle virus	95.16
UG125	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG125	KF386015	potyvirus	Sweet potato virus C	95.02
UG126	JQ902104	badnavirus	Sweet potato badnavirus C	94.47
UG126	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.3
UG126	AB465608	potyvirus	Sweet potato feathery mottle virus	95.44
UG126	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG126	KF386015	potyvirus	Sweet potato virus C	94.88
UG127	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.5
UG127	AB465608	potyvirus	Sweet potato feathery mottle virus	95.59
UG127	KJ844870	begomovirus	Sweet potato leaf curl virus	97.44
UG127	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG128	JQ902104	badnavirus	Sweet potato badnavirus C	95.88
UG128	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.42
UG128	AB465608	potyvirus	Sweet potato feathery mottle virus	95.6
UG128	KC288170	begomovirus	Sweet potato leaf curl virus	98.14
UG128	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG129	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.53
UG129	AB439206	potyvirus	Sweet potato feathery mottle virus	97.65
UG129	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG13	FJ560943	badnavirus	Sweet potato badnavirus A	81.12
UG13	KF836892	badnavirus	Sweet potato badnavirus B	81.92
UG13	JQ902103	badnavirus	Sweet potato badnavirus C	92.41
UG13	AM050892	potyvirus	Sweet potato feathery mottle virus	96.99
UG13	KF386015	potyvirus	Sweet potato virus C	96.09
UG134	JQ902104	badnavirus	Sweet potato badnavirus C	95.2
UG134	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.48
UG134	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG135	AY523547	potyvirus	Sweet potato feathery mottle virus	98.33
UG135	KC288170	begomovirus	Sweet potato leaf curl virus	98.39
UG135	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.75
UG136	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.44
UG136	AY523547	potyvirus	Sweet potato feathery mottle virus	96.96
UG136	FJ969835	begomovirus	Sweet potato leaf curl virus	94.21
UG136	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG136	KF386015	potyvirus	Sweet potato virus C	94.79
UG137	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.5
UG137	AB465608	potyvirus	Sweet potato feathery mottle virus	95.05
UG137	KF803170	begomovirus	Sweet potato golden vein associated virus	91.42
UG137	KJ844870	begomovirus	Sweet potato leaf curl virus	95.44
UG137	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG137	KF386015	potyvirus	Sweet potato virus C	95.21
UG139	JQ902104	badnavirus	Sweet potato badnavirus C	95.65
UG139	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.4
UG139	AB465608	potyvirus	Sweet potato feathery mottle virus	95.34
UG139	KC288170	begomovirus	Sweet potato leaf curl virus	98.15
UG139	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG140	JQ902104	badnavirus	Sweet potato badnavirus C	96.45
UG140	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.48
UG140	AB465608	potyvirus	Sweet potato feathery mottle virus	95.55
UG140	KC288170	begomovirus	Sweet potato leaf curl virus	98.47
UG140	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG141	AJ132548	begomovirus	Ipomoea yellow vein virus	95.29
UG141	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.31
UG141	AY523547	potyvirus	Sweet potato feathery mottle virus	99.08
UG141	KC288170	begomovirus	Sweet potato leaf curl virus	98.05
UG141	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG141	KF386015	potyvirus	Sweet potato virus C	92.17
UG143	KF803547	mitovirus	Fusarium circinatum mitovirus 2-1	97.56
UG143	JQ902104	badnavirus	Sweet potato badnavirus C	95.45
UG143	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.5
UG143	AB465608	potyvirus	Sweet potato feathery mottle virus	95.82
UG143	KC288170	begomovirus	Sweet potato leaf curl virus	98.7
UG143	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG143	KF386015	potyvirus	Sweet potato virus C	93.47
UG144	JQ902104	badnavirus	Sweet potato badnavirus C	95.95
UG144	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.38
UG144	AY523547	potyvirus	Sweet potato feathery mottle virus	98.46
UG144	KC288170	begomovirus	Sweet potato leaf curl virus	98.36
UG144	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG144	GU207957	potyvirus	Sweet potato virus C	91.06
UG145	FJ560943	badnavirus	Sweet potato badnavirus A	78.79
UG145	KF836892	badnavirus	Sweet potato badnavirus B	91.06
UG145	JQ902104	badnavirus	Sweet potato badnavirus C	86.75
UG145	HQ694978	cavemovirus	Sweet potato caulimo-like virus	97.66
UG145	KC288170	begomovirus	Sweet potato leaf curl virus	98.47
UG145	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG146	JQ902104	badnavirus	Sweet potato badnavirus C	95.77
UG146	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.47
UG146	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG147	JQ902104	badnavirus	Sweet potato badnavirus C	96.4
UG147	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.32
UG147	AY523547	potyvirus	Sweet potato feathery mottle virus	99.25
UG147	KF803170	begomovirus	Sweet potato golden vein associated virus	93.32
UG147	KC288170	begomovirus	Sweet potato leaf curl virus	98.65
UG147	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG147	JX489166	potyvirus	Sweet potato virus C	94.82
UG148	FJ560943	badnavirus	Sweet potato badnavirus A	77.85
UG148	KF836892	badnavirus	Sweet potato badnavirus B	84.85
UG148	JQ902104	badnavirus	Sweet potato badnavirus C	86.46
UG148	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.19
UG148	AY523547	potyvirus	Sweet potato feathery mottle virus	96.19
UG148	FR751068	begomovirus	Sweet potato leaf curl virus	96.96
UG148	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG149	KF386729	badnavirus	Banana streak virus	80.56
UG149	AJ132548	begomovirus	Ipomoea yellow vein virus	93.06
UG149	DQ644561	begomovirus	Merremia leaf curl virus	92.22
UG149	FJ560943	badnavirus	Sweet potato badnavirus A	80.29
UG149	FJ560944	badnavirus	Sweet potato badnavirus B	92.38
UG149	JQ902104	badnavirus	Sweet potato badnavirus C	81.64
UG149	GQ268231	begomovirus	Sweet potato begomovirus	92.22
UG149	AY461421	carlavirus	Sweet potato chlorotic fleck virus	98.24
UG149	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.53
UG149	AY523547	potyvirus	Sweet potato feathery mottle virus	98.45
UG149	HQ333143	begomovirus	Sweet potato golden vein associated virus	93.02
UG149	KC288170	begomovirus	Sweet potato leaf curl virus	96.84
UG149	FJ969831	begomovirus	Sweet potato mosaic virus	91.65
UG149	KF386015	potyvirus	Sweet potato virus C	94.84
UG15	EU839578	begomovirus	Ipomoea yellow vein virus	94.99
UG15	FJ560943	badnavirus	Sweet potato badnavirus A	77.93
UG15	KF836892	badnavirus	Sweet potato badnavirus B	84.16
UG15	JQ902104	badnavirus	Sweet potato badnavirus C	79.21
UG15	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.31
UG15	AY523547	potyvirus	Sweet potato feathery mottle virus	98.51
UG15	FJ969830	begomovirus	Sweet potato golden vein associated virus	94.34
UG15	KM043892	begomovirus	Sweet potato leaf curl virus	98.19
UG15	JX489166	potyvirus	Sweet potato virus C	94.3
UG150	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.3
UG150	AY523547	potyvirus	Sweet potato feathery mottle virus	97.94
UG150	JX489166	potyvirus	Sweet potato virus C	95.13
UG155	JQ902104	badnavirus	Sweet potato badnavirus C	96.22
UG155	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.26
UG155	AY523547	potyvirus	Sweet potato feathery mottle virus	97.88
UG155	FJ969830	begomovirus	Sweet potato golden vein associated virus	87.86
UG155	JN657686	begomovirus	Sweet potato leaf curl virus	93.36
UG155	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG158	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.44
UG158	FJ155666	potyvirus	Sweet potato feathery mottle virus	95.16
UG161	KF803547	mitovirus	Fusarium circinatum mitovirus 2-1	98.24
UG161	DQ644561	begomovirus	Merremia leaf curl virus	93.35
UG161	JQ902103	badnavirus	Sweet potato badnavirus C	97.56
UG161	GQ268231	begomovirus	Sweet potato begomovirus	92.86
UG161	AY461421	carlavirus	Sweet potato chlorotic fleck virus	97.09
UG161	AB439206	potyvirus	Sweet potato feathery mottle virus	97.28
UG161	FJ969829	begomovirus	Sweet potato golden vein associated virus	94.11
UG161	KJ844870	begomovirus	Sweet potato leaf curl virus	98
UG161	KF386015	potyvirus	Sweet potato virus C	95.65
UG164	FJ560943	badnavirus	Sweet potato badnavirus A	81.59
UG164	KF836892	badnavirus	Sweet potato badnavirus B	85.69
UG164	JQ902103	badnavirus	Sweet potato badnavirus C	98.73
UG165	FJ560943	badnavirus	Sweet potato badnavirus A	77.42
UG165	KF836892	badnavirus	Sweet potato badnavirus B	85.57
UG165	JQ902104	badnavirus	Sweet potato badnavirus C	75.93
UG165	HQ694978	cavemovirus	Sweet potato caulimo-like virus	98.11
UG165	AB465608	potyvirus	Sweet potato feathery mottle virus	97.17
UG165	KF386015	potyvirus	Sweet potato virus C	96.45
UG166	DQ644561	begomovirus	Merremia leaf curl virus	94.45
UG166	JQ902104	badnavirus	Sweet potato badnavirus C	96.19
UG166	HQ694978	cavemovirus	Sweet potato caulimo-like virus	97.28
UG166	KC288170	begomovirus	Sweet potato leaf curl virus	97.77
UG166	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG168	FJ560944	badnavirus	Sweet potato badnavirus B	99.67
UG168	JQ902104	badnavirus	Sweet potato badnavirus C	96.74
UG168	KC288170	begomovirus	Sweet potato leaf curl virus	99.19
UG168	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG171	FJ560943	badnavirus	Sweet potato badnavirus A	77.99
UG171	KF836892	badnavirus	Sweet potato badnavirus B	93.16
UG171	JQ902103	badnavirus	Sweet potato badnavirus C	97.67
UG171	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.33
UG171	KJ844870	begomovirus	Sweet potato leaf curl virus	94.77
UG171	JX489166	potyvirus	Sweet potato virus C	92.73
UG172	FJ560943	badnavirus	Sweet potato badnavirus A	80.07
UG172	KF836892	badnavirus	Sweet potato badnavirus B	94.05
UG172	JQ902104	badnavirus	Sweet potato badnavirus C	94
UG172	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.33
UG172	KF803170	begomovirus	Sweet potato golden vein associated virus	91.23
UG172	KF040464	begomovirus	Sweet potato leaf curl virus	92.8
UG172	JX489166	potyvirus	Sweet potato virus C	92.69
UG173	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.34
UG173	EF155993	potyvirus	Sweet potato feathery mottle virus	92.83
UG173	KC288170	begomovirus	Sweet potato leaf curl virus	98.37
UG173	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG175	KF836892	badnavirus	Sweet potato badnavirus B	98.23
UG175	JQ902104	badnavirus	Sweet potato badnavirus C	94.23
UG175	HQ694978	cavemovirus	Sweet potato caulimo-like virus	98.15
UG175	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.38
UG175	EF155993	potyvirus	Sweet potato feathery mottle virus	96.15
UG175	KF803170	begomovirus	Sweet potato golden vein associated virus	92.34
UG175	KJ013557	begomovirus	Sweet potato leaf curl virus	93.4
UG175	JX489166	potyvirus	Sweet potato virus C	92.76
UG176	EU839578	begomovirus	Ipomoea yellow vein virus	94.62
UG176	FJ560943	badnavirus	Sweet potato badnavirus A	80.36
UG176	KF836892	badnavirus	Sweet potato badnavirus B	85.37
UG176	AY461421	carlavirus	Sweet potato chlorotic fleck virus	97.9
UG176	EF155987	potyvirus	Sweet potato feathery mottle virus	98.62
UG176	KJ844870	begomovirus	Sweet potato leaf curl virus	97.28
UG177	HQ694978	cavemovirus	Sweet potato caulimo-like virus	97.26
UG177	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.38
UG177	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.85
UG179	FJ560943	badnavirus	Sweet potato badnavirus A	79.64
UG179	FJ560944	badnavirus	Sweet potato badnavirus B	79.9
UG179	JQ902104	badnavirus	Sweet potato badnavirus C	93.54
UG179	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.37
UG179	FJ155666	potyvirus	Sweet potato feathery mottle virus	95.06
UG179	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.89
UG180	FJ560943	badnavirus	Sweet potato badnavirus A	75.84
UG180	KF836892	badnavirus	Sweet potato badnavirus B	87.25
UG180	JQ902104	badnavirus	Sweet potato badnavirus C	79.77
UG180	AY461421	carlavirus	Sweet potato chlorotic fleck virus	97.02
UG180	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.38
UG180	FJ155666	potyvirus	Sweet potato feathery mottle virus	94.48
UG180	KJ844870	begomovirus	Sweet potato leaf curl virus	96.96
UG181	FJ560943	badnavirus	Sweet potato badnavirus A	79.09
UG181	KF836892	badnavirus	Sweet potato badnavirus B	86.14
UG181	JQ902104	badnavirus	Sweet potato badnavirus C	89.4
UG181	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG182	KF836892	badnavirus	Sweet potato badnavirus B	96.73
UG182	HQ694978	cavemovirus	Sweet potato caulimo-like virus	96.93
UG183	FJ560943	badnavirus	Sweet potato badnavirus A	79.22
UG183	KF836892	badnavirus	Sweet potato badnavirus B	92.87
UG183	JQ902104	badnavirus	Sweet potato badnavirus C	95.13
UG183	AB465608	potyvirus	Sweet potato feathery mottle virus	96.7
UG183	KJ844870	begomovirus	Sweet potato leaf curl virus	97.51
UG183	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG184	FJ560943	badnavirus	Sweet potato badnavirus A	79.78
UG184	KF836892	badnavirus	Sweet potato badnavirus B	88.75
UG184	JQ902104	badnavirus	Sweet potato badnavirus C	81.61
UG184	HQ694978	cavemovirus	Sweet potato caulimo-like virus	98.21
UG184	FJ795752	potyvirus	Sweet potato feathery mottle virus	96.04
UG184	JX489166	potyvirus	Sweet potato virus C	93.8
UG185	FJ560943	badnavirus	Sweet potato badnavirus A	79.24
UG185	KF836892	badnavirus	Sweet potato badnavirus B	90
UG185	JQ902104	badnavirus	Sweet potato badnavirus C	77.9
UG185	AY461421	carlavirus	Sweet potato chlorotic fleck virus	97.65
UG185	AB465608	potyvirus	Sweet potato feathery mottle virus	97.25
UG185	KC288170	begomovirus	Sweet potato leaf curl virus	98.55
UG186	FJ560943	badnavirus	Sweet potato badnavirus A	77.08
UG186	FJ560944	badnavirus	Sweet potato badnavirus B	94.2
UG186	JQ902104	badnavirus	Sweet potato badnavirus C	80.26
UG186	HQ694978	cavemovirus	Sweet potato caulimo-like virus	97.69
UG187	KF803547	mitovirus	Fusarium circinatum mitovirus 2-1	98.2
UG187	FJ560943	badnavirus	Sweet potato badnavirus A	78.61
UG187	KF836892	badnavirus	Sweet potato badnavirus B	92.95
UG187	JQ902104	badnavirus	Sweet potato badnavirus C	86.56
UG187	HQ694978	cavemovirus	Sweet potato caulimo-like virus	98.31
UG187	FJ155666	potyvirus	Sweet potato feathery mottle virus	96.16
UG187	KF386015	potyvirus	Sweet potato virus C	93.63
UG188	FJ560943	badnavirus	Sweet potato badnavirus A	78.78
UG188	KF836892	badnavirus	Sweet potato badnavirus B	87.68
UG188	JQ902104	badnavirus	Sweet potato badnavirus C	82.11
UG189	FJ560943	badnavirus	Sweet potato badnavirus A	80.86
UG189	KF836892	badnavirus	Sweet potato badnavirus B	83.96
UG189	JQ902104	badnavirus	Sweet potato badnavirus C	81.86
UG189	HQ694978	cavemovirus	Sweet potato caulimo-like virus	98.43
UG189	AY523547	potyvirus	Sweet potato feathery mottle virus	97.66
UG189	KF386015	potyvirus	Sweet potato virus C	93.68
UG190	FJ560943	badnavirus	Sweet potato badnavirus A	79.93
UG190	KF836892	badnavirus	Sweet potato badnavirus B	93.31
UG190	JQ902104	badnavirus	Sweet potato badnavirus C	81.65
UG190	HQ694978	cavemovirus	Sweet potato caulimo-like virus	98.02
UG190	KC288170	begomovirus	Sweet potato leaf curl virus	98.91
UG190	KF386015	potyvirus	Sweet potato virus C	95.63
UG191	KF836892	badnavirus	Sweet potato badnavirus B	85.88
UG191	JQ902103	badnavirus	Sweet potato badnavirus C	92.9
UG191	HQ694978	cavemovirus	Sweet potato caulimo-like virus	98.29
UG191	KF386015	potyvirus	Sweet potato virus C	94.59
UG192	KF836892	badnavirus	Sweet potato badnavirus B	84.5
UG192	JQ902104	badnavirus	Sweet potato badnavirus C	77.16
UG192	HQ694978	cavemovirus	Sweet potato caulimo-like virus	96.96
UG192	AY523547	potyvirus	Sweet potato feathery mottle virus	98.08
UG192	JX489166	potyvirus	Sweet potato virus C	93.23
UG193	KF803547	mitovirus	Fusarium circinatum mitovirus 2-1	96.76
UG193	FJ560943	badnavirus	Sweet potato badnavirus A	78.59
UG193	KF836892	badnavirus	Sweet potato badnavirus B	84.89
UG193	JQ902103	badnavirus	Sweet potato badnavirus C	87.1
UG193	HQ694978	cavemovirus	Sweet potato caulimo-like virus	97.65
UG193	AY523547	potyvirus	Sweet potato feathery mottle virus	98.52
UG193	KF386015	potyvirus	Sweet potato virus C	94.93
UG194	AM072682	badnavirus	Dioscorea bacilliform virus 1	77.69
UG194	FJ560943	badnavirus	Sweet potato badnavirus A	78.62
UG194	KF836892	badnavirus	Sweet potato badnavirus B	83.85
UG194	HQ694978	cavemovirus	Sweet potato caulimo-like virus	97.82
UG194	AY523547	potyvirus	Sweet potato feathery mottle virus	98.61
UG194	KF386015	potyvirus	Sweet potato virus C	94.78
UG195	FJ560943	badnavirus	Sweet potato badnavirus A	79.96
UG195	KF836892	badnavirus	Sweet potato badnavirus B	86.14
UG195	JQ902104	badnavirus	Sweet potato badnavirus C	75.76
UG195	AY523547	potyvirus	Sweet potato feathery mottle virus	97.94
UG195	KF386015	potyvirus	Sweet potato virus C	95.36
UG196	EU130910	badnavirus	Citrus yellow mosaic virus	74.23
UG196	FJ560943	badnavirus	Sweet potato badnavirus A	81.05
UG196	KF836892	badnavirus	Sweet potato badnavirus B	86.55
UG196	JQ902104	badnavirus	Sweet potato badnavirus C	83.28
UG196	HQ694978	cavemovirus	Sweet potato caulimo-like virus	98.04
UG197	KF545103	badnavirus	Banana streak virus	75.4
UG197	FJ560943	badnavirus	Sweet potato badnavirus A	80
UG197	KF836892	badnavirus	Sweet potato badnavirus B	86.09
UG197	JQ902103	badnavirus	Sweet potato badnavirus C	91.67
UG197	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	98.97
UG197	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.66
UG198	FJ560943	badnavirus	Sweet potato badnavirus A	80.85
UG198	KF836892	badnavirus	Sweet potato badnavirus B	81.89
UG198	JQ902104	badnavirus	Sweet potato badnavirus C	79.69
UG198	AB465608	potyvirus	Sweet potato feathery mottle virus	97.21
UG198	KC288170	begomovirus	Sweet potato leaf curl virus	98.8
UG198	KF386015	potyvirus	Sweet potato virus C	95.77
UG199	FJ560943	badnavirus	Sweet potato badnavirus A	80.15
UG199	KF836892	badnavirus	Sweet potato badnavirus B	88.98
UG199	JQ902104	badnavirus	Sweet potato badnavirus C	83.27
UG20	KF545103	badnavirus	Banana streak virus	79.19
UG20	FJ560943	badnavirus	Sweet potato badnavirus A	80.54
UG20	KF836892	badnavirus	Sweet potato badnavirus B	84.02
UG20	JQ902104	badnavirus	Sweet potato badnavirus C	81.01
UG20	KF803170	begomovirus	Sweet potato golden vein associated virus	91.57
UG20	JN657686	begomovirus	Sweet potato leaf curl virus	93.27
UG22	DQ644561	begomovirus	Merremia leaf curl virus	92.72
UG22	FJ560943	badnavirus	Sweet potato badnavirus A	78.05
UG22	KF836892	badnavirus	Sweet potato badnavirus B	88.22
UG22	JQ902104	badnavirus	Sweet potato badnavirus C	80.65
UG22	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.35
UG22	AY523547	potyvirus	Sweet potato feathery mottle virus	98.63
UG22	KM043892	begomovirus	Sweet potato leaf curl virus	98.15
UG22	KF386015	potyvirus	Sweet potato virus C	94.19
UG25	EF211959	potyvirus	Watermelon mosaic virus	97.57
UG30	FJ560943	badnavirus	Sweet potato badnavirus A	79.95
UG30	KF836892	badnavirus	Sweet potato badnavirus B	84.42
UG30	JQ902104	badnavirus	Sweet potato badnavirus C	84.14
UG30	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.67
UG30	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG31	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.69
UG31	GU207957	potyvirus	Sweet potato virus C	92.41
UG34	KF836892	badnavirus	Sweet potato badnavirus B	98
UG34	KC288170	begomovirus	Sweet potato leaf curl virus	97.95
UG36	KF545103	badnavirus	Banana streak virus	78.57
UG36	FJ560943	badnavirus	Sweet potato badnavirus A	81.31
UG36	FJ560944	badnavirus	Sweet potato badnavirus B	95.67
UG36	JQ902104	badnavirus	Sweet potato badnavirus C	79.74
UG36	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.51
UG36	HQ393444	begomovirus	Sweet potato golden vein associated virus	93.81
UG36	AF326775	begomovirus	Sweet potato leaf curl virus	93.44
UG40	JQ902104	badnavirus	Sweet potato badnavirus C	95.71
UG40	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.49
UG40	AY523547	potyvirus	Sweet potato feathery mottle virus	98.4
UG40	KJ844870	begomovirus	Sweet potato leaf curl virus	97.08
UG40	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG40	KF386015	potyvirus	Sweet potato virus C	94.04
UG42	JQ902104	badnavirus	Sweet potato badnavirus C	95.45
UG42	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.58
UG42	AY523547	potyvirus	Sweet potato feathery mottle virus	98.4
UG42	KJ844870	begomovirus	Sweet potato leaf curl virus	96.97
UG42	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG42	KF386015	potyvirus	Sweet potato virus C	94.47
UG45	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG45	JX489166	potyvirus	Sweet potato virus C	94.6
UG49	FJ439789	badnavirus	Sugarcane bacilliform virus	76.97
UG49	FJ560943	badnavirus	Sweet potato badnavirus A	81.04
UG49	FJ560944	badnavirus	Sweet potato badnavirus B	94.55
UG49	JQ902103	badnavirus	Sweet potato badnavirus C	88.39
UG49	EF155993	potyvirus	Sweet potato feathery mottle virus	96.83
UG5	FJ560943	badnavirus	Sweet potato badnavirus A	82.06
UG5	KF836892	badnavirus	Sweet potato badnavirus B	83.92
UG5	JQ902104	badnavirus	Sweet potato badnavirus C	85.71
UG5	EF155987	potyvirus	Sweet potato feathery mottle virus	97.81
UG5	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG50	FJ560943	badnavirus	Sweet potato badnavirus A	80.74
UG50	KF836892	badnavirus	Sweet potato badnavirus B	83.26
UG50	JQ902103	badnavirus	Sweet potato badnavirus C	92.31
UG50	FJ155666	potyvirus	Sweet potato feathery mottle virus	96.16
UG55	FJ560943	badnavirus	Sweet potato badnavirus A	78.38
UG55	FJ560944	badnavirus	Sweet potato badnavirus B	91.29
UG55	JQ902104	badnavirus	Sweet potato badnavirus C	81.67
UG55	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.3
UG55	FJ155666	potyvirus	Sweet potato feathery mottle virus	91.33
UG55	KC253249	begomovirus	Sweet potato leaf curl virus	92.78
